Institution,Total_2016 / 2017,Men_2016 / 2017,Women_2016 / 2017,Canadian_2016 / 2017,International_2016 / 2017,Total_2017 / 2018,Men_2017 / 2018,Women_2017 / 2018,Canadian_2017 / 2018,International_2017 / 2018,Total_2018 / 2019,Men_2018 / 2019,Women_2018 / 2019,Canadian_2018 / 2019,International_2018 / 2019,Total_2019 / 2020,Men_2019 / 2020,Women_2019 / 2020,Canadian_2019 / 2020,International_2019 / 2020,Total_2020 / 2021,Men_2020 / 2021,Women_2020 / 2021,Canadian_2020 / 2021,International_2020 / 2021,Total_2021 / 2022,Men_2021 / 2022,Women_2021 / 2022,Canadian_2021 / 2022,International_2021 / 2022
"Grant MacEwan University, Alberta",15897.0,5922.0,9975.0,14865.0,1032.0,16206.0,6222.0,9984.0,15195.0,1011.0,15894.0,6192.0,9702.0,14979.0,915.0,15639.0,6048.0,9591.0,14949.0,690.0,15780.0,6021.0,9759.0,15294.0,486.0,15501,5928,9573,14973,528
"Institut national de la recherche scientifique, Quebec",666.0,348.0,318.0,282.0,384.0,690.0,372.0,318.0,264.0,426.0,699.0,366.0,333.0,255.0,444.0,798.0,444.0,354.0,273.0,525.0,744.0,384.0,360.0,285.0,459.0,798,393,405,285,513
"Kwantlen Polytechnic University, British Columbia",13515.0,6255.0,7260.0,11541.0,1974.0,14718.0,6720.0,7998.0,11646.0,3072.0,15864.0,7086.0,8778.0,11226.0,4638.0,14301.0,6612.0,7689.0,10776.0,3525.0,13707.0,6183.0,7524.0,10017.0,3690.0,14424,6369,8055,9300,5124
"Lakehead University, Ontario",8286.0,3606.0,4680.0,7407.0,879.0,8205.0,3705.0,4500.0,7107.0,1098.0,8469.0,3834.0,4635.0,7140.0,1329.0,8502.0,3813.0,4689.0,6978.0,1524.0,8367.0,3576.0,4791.0,7035.0,1332.0,8571,3531,5040,7077,1494
"McGill University, Quebec",39612.0,16743.0,22869.0,29262.0,10350.0,39897.0,16551.0,23346.0,28506.0,11391.0,38685.0,16059.0,22626.0,26847.0,11838.0,38784.0,15837.0,22947.0,26712.0,12072.0,38820.0,15765.0,23055.0,27336.0,11484.0,38220,15327,22893,27054,11166
"McMaster University, Ontario",31785.0,14841.0,16944.0,28686.0,3099.0,32400.0,14922.0,17478.0,28641.0,3759.0,33744.0,15387.0,18357.0,29307.0,4437.0,35031.0,15774.0,19257.0,29655.0,5376.0,36972.0,16425.0,20547.0,31146.0,5826.0,38004,16740,21264,31488,6516
"Memorial University of Newfoundland, Newfoundland and Labrador",18489.0,7995.0,10494.0,15948.0,2541.0,18435.0,8028.0,10407.0,15588.0,2847.0,18411.0,8106.0,10305.0,15276.0,3135.0,18819.0,8388.0,10431.0,15168.0,3651.0,19512.0,8442.0,11070.0,15948.0,3564.0,19677,8577,11100,16458,3219
"Mount Allison University, New Brunswick",2283.0,987.0,1296.0,2070.0,213.0,2193.0,915.0,1278.0,2016.0,177.0,2127.0,897.0,1230.0,1941.0,186.0,2184.0,918.0,1266.0,1932.0,252.0,2265.0,933.0,1332.0,1995.0,270.0,2265,918,1347,1959,306
"Mount Royal University, Alberta",12675.0,4686.0,7989.0,12216.0,459.0,13209.0,5058.0,8151.0,12837.0,372.0,13362.0,5124.0,8238.0,13005.0,357.0,13674.0,5349.0,8325.0,13326.0,348.0,14019.0,5415.0,8604.0,13677.0,342.0,14346,5724,8622,13989,357
"Mount Saint Vincent University, Nova Scotia",3528.0,897.0,2631.0,2937.0,591.0,3456.0,831.0,2625.0,2925.0,531.0,3528.0,780.0,2748.0,3036.0,492.0,3681.0,879.0,2802.0,2976.0,705.0,3918.0,909.0,3009.0,3132.0,786.0,4140,945,3195,3312,828
"NSCAD University, Nova Scotia",693.0,183.0,510.0,576.0,117.0,747.0,186.0,561.0,585.0,162.0,807.0,204.0,603.0,597.0,210.0,858.0,198.0,660.0,636.0,222.0,810.0,174.0,636.0,615.0,195.0,786,156,630,627,159
"Nipissing University, Ontario",5403.0,1431.0,3972.0,5313.0,90.0,4935.0,1284.0,3651.0,4875.0,60.0,4860.0,1266.0,3594.0,4797.0,63.0,5019.0,1359.0,3660.0,4944.0,75.0,5145.0,1419.0,3726.0,5091.0,54.0,5295,1437,3858,5208,87
"OCAD University, Ontario",4488.0,1440.0,3048.0,3960.0,528.0,4497.0,1365.0,3132.0,3879.0,618.0,4560.0,1362.0,3198.0,3801.0,759.0,4740.0,1368.0,3372.0,3756.0,984.0,4830.0,1317.0,3513.0,3612.0,1218.0,4929,1320,3609,3624,1305
"Ontario Tech University, Ontario",10152.0,5874.0,4278.0,9483.0,669.0,10269.0,5955.0,4314.0,9618.0,651.0,10347.0,5901.0,4446.0,9717.0,630.0,10392.0,5883.0,4509.0,9648.0,744.0,10674.0,6018.0,4656.0,9867.0,807.0,10968,6126,4842,9888,1080
"Queen's University, Ontario",28107.0,11430.0,16677.0,25431.0,2676.0,28272.0,11724.0,16548.0,25170.0,3102.0,29610.0,12036.0,17574.0,26013.0,3597.0,30387.0,12075.0,18312.0,26352.0,4035.0,31785.0,12552.0,19233.0,28140.0,3645.0,33717,13224,20493,29568,4149
"Royal Roads University, British Columbia",2931.0,1161.0,1770.0,2037.0,894.0,2922.0,1134.0,1788.0,2112.0,810.0,2850.0,1107.0,1743.0,2043.0,807.0,3150.0,1245.0,1905.0,2160.0,990.0,3135.0,1170.0,1965.0,2280.0,855.0,2907,1023,1884,2304,603
"Ryerson University, Ontario",45351.0,20013.0,25338.0,43242.0,2109.0,46179.0,20205.0,25974.0,43602.0,2577.0,47055.0,20532.0,26523.0,43938.0,3117.0,47307.0,20523.0,26784.0,43539.0,3768.0,49074.0,21138.0,27936.0,45003.0,4071.0,48783,20841,27942,44370,4413
"Saint Mary's University, Nova Scotia",7047.0,3606.0,3441.0,4716.0,2331.0,6921.0,3492.0,3429.0,4614.0,2307.0,6861.0,3396.0,3465.0,4566.0,2295.0,6642.0,3216.0,3426.0,4374.0,2268.0,6456.0,3123.0,3333.0,4476.0,1980.0,6657,3222,3435,4644,2013
"Simon Fraser University, British Columbia",32412.0,14844.0,17568.0,25953.0,6459.0,32367.0,14751.0,17616.0,25650.0,6717.0,32094.0,14691.0,17403.0,25278.0,6816.0,32325.0,14772.0,17553.0,25080.0,7245.0,31914.0,14454.0,17460.0,24807.0,7107.0,31818,14382,17436,24801,7017
